item_id,item_name,order_count,place_id,id,item_name,price,revenue,category
59911,Artichoke,220,59897,59911,Artichoke,109.0,23980.0,Star
59912,Broccolien,46,59897,59912,Broccolien,129.0,5934.0,Star
59913,Potatos,207,59897,59913,Potato,129.0,26703.0,Star
59916,Mushroom,160,59897,59916,Mushroom,139.0,22240.0,Star
59917,Sunny Hawaii,98,59897,59917,Sunny Hawaii,129.0,12642.0,Star
59919,Auberginen,45,59897,59919,Auberginen,119.0,5355.0,Star
59920,Freestyle,33,59897,59920,Freestyle,129.0,4257.0,Star
59921,Umamien,66,59897,59921,Umamien,119.0,7854.0,Star
59946,Rødvin,12,59897,59946,Rødvin,60.0,720.0,Dog
59949,Hvidvin,12,59897,59949,Hvidvin,60.0,720.0,Dog
59958,Bobler (cremant),3,59897,59958,Bobler (cremant),70.0,210.0,Dog
60480,Den Store Grillede,44,59897,60480,Den Store Grillede,89.0,3916.0,Star
60822,Latte,28,59897,60822,Latte,35.0,980.0,Plowhorse
66633,Espresso,6,59897,66633,Espresso,23.0,138.0,Dog
66634,Cortado,4,59897,66634,Cortado,30.0,120.0,Dog
66635,Varm Chokolade,11,59897,66635,Varm Chokolade,35.0,385.0,Dog
66636,Iskaffe,9,59897,66636,Iskaffe,40.0,360.0,Dog
66637,Americano,9,59897,66637,Americano,26.0,234.0,Dog
66645,Cappuccino,8,59897,66645,Cappuccino,30.0,240.0,Dog
66646,Chai Latte,6,59897,66646,Chai Latte,35.0,210.0,Dog
66647,Frisk Mynte Te,16,59897,66647,Frisk Mynte Te,25.0,400.0,Plowhorse
66648,Filter Kaffe,6,59897,66648,Filter Kaffe,26.0,156.0,Dog
66669,Thy Økologisk Humle,3,59897,66669,Thy Økologisk Humle,35.0,105.0,Dog
66670,Økologisk Classic,10,59897,66670,Økologisk Classic,32.0,320.0,Dog
66672,Økologisk Thy Pilsner,4,59897,66672,Økologisk Thy Pilsner,32.0,128.0,Dog
66674,"Ship full of IPA, Alcholfri",7,59897,66674,"Ship full of IPA, Alcholfri",32.0,224.0,Dog
69792,Potato kale pesto,172,59897,69792,Potato kale pesto,69.0,11868.0,Plowhorse
94512,Espresso,1320,94025,94512,Espresso,32.0,42240.0,Plowhorse
94521,Latte,5931,94025,94521,Latte,47.0,278757.0,Plowhorse
94522,Small Latte,593,94025,94522,Small Latte,38.0,22534.0,Plowhorse
94523,Cappuccino,6613,94025,94523,Cappuccino,47.0,310811.0,Plowhorse
94524,Flat white,2199,94025,94524,Flat white,45.0,98955.0,Plowhorse
94525,Chai Latte,1520,94025,94525,Chai Latte,47.0,71440.0,Plowhorse
94526,Mocha,536,94025,94526,Mocha,52.0,27872.0,Plowhorse
94527,Dirty Chai,469,94025,94527,Dirty Chai,52.0,24388.0,Plowhorse
94528,Latte Macchiato,451,94025,94528,Latte Macchiato,45.0,20295.0,Plowhorse
94529,Espresso Macchiato,120,94025,94529,Espresso Macchiato,35.0,4200.0,Plowhorse
94530,Hot chocolate,1196,94025,94530,Hot chocolate,47.0,56212.0,Plowhorse
